,Cycle GANphoto2ukiyoe DAVIS,,,,,,,,,,,,,,,,,,,CycleGANphoto2ukiyoe_videvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spatial,,,,,,Composited Spatiotemporal ,,,Temporal,,,,,,,,,,LPIPS,,,Composited Spatiotemporal ,,,Temporal,,,,,,,,,,,,,,,,,,,,,,,,,
video indx,Lai et al.£¨LPIPS£©,IOU,Bonneel et al.£¨LPIPS£©,IOU,TDMS-Net£¨LPIPS£©,IOU,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Dt,Bonneel et al.,Dt,TDMS-Net,Dt,Pre-Processed,,,video indx,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Dt,Bonneel et al.,Dt,TDMS-Net,Dt,Pre-Processed,,,,,,,,,,,,,,,,,,,
12 ,0.0559 ,0.3945 ,0.0841 ,0.6699 ,0.0910 ,0.5005 ,0.7243 ,0.7410 ,0.7957 ,0.0003 ,0.7793 ,0.0004 ,0.6890 ,0.0002 ,0.8867 ,0.0013 ,,,12 ,0.0160 ,0.1546 ,0.0596 ,0.6778 ,0.5397 ,0.6862 ,0.0020 ,0.3717 ,0.0024 ,0.2340 ,0.0018 ,0.4319 ,0.0031 ,,,,,,,,,,,,,,,,,,,
13 ,0.0164 ,0.7107 ,0.0995 ,0.6972 ,0.0165 ,0.7033 ,0.5222 ,0.3994 ,0.5068 ,0.0039 ,0.1973 ,0.0055 ,0.0000 ,0.0040 ,0.1703 ,0.0048 ,,,13 ,0.0331 ,0.1084 ,0.0457 ,0.6760 ,0.6246 ,0.6681 ,0.0022 ,0.3850 ,0.0023 ,0.3576 ,0.0022 ,0.3820 ,0.0036 ,,,,,,,,,,,,,,,,,,,
14 ,0.0244 ,0.7459 ,0.0487 ,0.7120 ,0.0261 ,0.7408 ,0.6247 ,0.4158 ,0.6384 ,0.0012 ,0.3887 ,0.0020 ,0.0000 ,0.0012 ,0.4194 ,0.0020 ,,,14 ,0.0240 ,0.1489 ,0.0794 ,0.6911 ,0.5889 ,0.7525 ,0.0014 ,0.4062 ,0.0016 ,0.3266 ,0.0010 ,0.5844 ,0.0023 ,,,,,,,,,,,,,,,,,,,
15 ,0.0407 ,0.5025 ,0.1185 ,0.5342 ,0.1142 ,0.5559 ,0.6626 ,0.6253 ,0.7755 ,0.0016 ,0.5944 ,0.0018 ,0.5427 ,0.0007 ,0.8302 ,0.0039 ,,,15 ,0.0317 ,0.0681 ,0.1550 ,0.7237 ,0.6904 ,0.7850 ,0.0005 ,0.4792 ,0.0005 ,0.4489 ,0.0002 ,0.7250 ,0.0009 ,,,,,,,,,,,,,,,,,,,
16 ,0.0260 ,0.6510 ,0.0714 ,0.6163 ,0.0357 ,0.6530 ,0.5969 ,0.5703 ,0.5992 ,0.0013 ,0.3813 ,0.0013 ,0.3682 ,0.0013 ,0.3896 ,0.0020 ,,,16 ,0.0277 ,0.1438 ,0.0584 ,0.7045 ,0.5965 ,0.7057 ,0.0025 ,0.4367 ,0.0029 ,0.3368 ,0.0024 ,0.4699 ,0.0044 ,,,,,,,,,,,,,,,,,,,
17 ,0.0323 ,0.4352 ,0.1315 ,0.4359 ,0.0416 ,0.4483 ,0.5438 ,0.5156 ,0.5710 ,0.0019 ,0.3862 ,0.0020 ,0.3790 ,0.0018 ,0.4386 ,0.0032 ,,,17 ,0.0167 ,0.0851 ,0.0605 ,0.6768 ,0.6459 ,0.7889 ,0.0013 ,0.3703 ,0.0012 ,0.3768 ,0.0007 ,0.6382 ,0.0020 ,,,,,,,,,,,,,,,,,,,
18 ,0.0229 ,0.5133 ,0.0522 ,0.5308 ,0.0471 ,0.5197 ,0.5724 ,0.5608 ,0.6485 ,0.0004 ,0.3997 ,0.0004 ,0.3823 ,0.0003 ,0.5608 ,0.0006 ,,,18 ,0.0202 ,0.1225 ,0.0293 ,0.6629 ,0.6238 ,0.7061 ,0.0029 ,0.3460 ,0.0028 ,0.3702 ,0.0025 ,0.4414 ,0.0045 ,,,,,,,,,,,,,,,,,,,
19 ,0.0376 ,0.2111 ,0.1144 ,0.2221 ,0.0615 ,0.2129 ,0.5335 ,0.4852 ,0.5675 ,0.0021 ,0.4802 ,0.0024 ,0.4165 ,0.0018 ,0.5593 ,0.0041 ,,,19 ,0.0153 ,0.0597 ,0.0908 ,0.6679 ,0.6286 ,0.7533 ,0.0017 ,0.3510 ,0.0018 ,0.3170 ,0.0010 ,0.5975 ,0.0026 ,,,,,,,,,,,,,,,,,,,
20 ,0.0275 ,0.4301 ,0.0848 ,0.4137 ,0.0395 ,0.4179 ,0.5582 ,0.3322 ,0.5874 ,0.0017 ,0.4150 ,0.0030 ,0.0000 ,0.0015 ,0.4856 ,0.0028 ,,,20 ,0.0180 ,0.1025 ,0.0665 ,0.6862 ,0.6415 ,0.7698 ,0.0014 ,0.3903 ,0.0014 ,0.3855 ,0.0009 ,0.6062 ,0.0023 ,,,,,,,,,,,,,,,,,,,
21 ,0.0308 ,0.4629 ,0.1228 ,0.4330 ,0.0294 ,0.4666 ,0.5484 ,0.5186 ,0.5322 ,0.0029 ,0.3807 ,0.0029 ,0.3822 ,0.0030 ,0.3459 ,0.0046 ,,,ave,0.0202 ,0.1197 ,0.0645 ,0.6729 ,0.6148 ,0.7267 ,0.0017 ,0.3659 ,0.0018 ,0.3492 ,0.0014 ,0.5179 ,0.0027 ,,,,,,,,,,,,,,,,,,,
